id	day	date	batch
day-1650	1650	2026-08-11	batch-0001.md
day-1651	1651	2026-08-12	batch-0001.md
day-1652	1652	2026-08-13	batch-0001.md
day-1653	1653	2026-08-14	batch-0001.md
day-1654	1654	2026-08-15	batch-0001.md
day-1655	1655	2026-08-16	batch-0001.md
day-1656	1656	2026-08-17	batch-0001.md
day-1657	1657	2026-08-18	batch-0001.md
day-1658	1658	2026-08-19	batch-0001.md
day-1659	1659	2026-08-20	batch-0001.md
day-1660	1660	2026-08-21	batch-0001.md
day-1661	1661	2026-08-22	batch-0001.md
day-1662	1662	2026-08-23	batch-0001.md
day-1663	1663	2026-08-24	batch-0001.md
day-1664	1664	2026-08-25	batch-0001.md
day-1665	1665	2026-08-26	batch-0001.md
day-1666	1666	2026-08-27	batch-0001.md
day-1667	1667	2026-08-28	batch-0001.md
day-1668	1668	2026-08-29	batch-0001.md
